time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z
0,0,0,0,8.56602,-1.92634,3.3171,1.3276,-42.78508,-2.27446,-5.53755,-84.07944,-3.136,-8.55652,-1.23578,-3.6537,-2.83549,-42.04086,3.78353,-0.14874,-83.82108,4.32362
0.008,0,0,0,8.56601,-1.92634,3.3171,1.3276,-42.78508,-2.27446,-5.52978,-84.08092,-3.12737,-8.55652,-1.23579,-3.6537,-2.81106,-42.04327,3.75147,-0.13863,-83.82421,4.30601
0.016,0,0,0,8.55181,-2.0367,3.28768,1.32299,-42.87439,-2.46767,-5.52768,-84.1715,-3.31271,-8.55268,-1.11635,-3.70083,-2.78625,-41.9256,3.67827,-0.11526,-83.70647,4.24526
0.024,0,0,0,8.55046,-2.06077,3.2762,1.31772,-42.89337,-2.51027,-5.53272,-84.1905,-3.35641,-8.55284,-1.08972,-3.70838,-2.78428,-41.90243,3.64986,-0.11127,-83.68295,4.23278
0.032,0,0,0,8.54885,-2.08047,3.26793,1.32091,-42.92101,-2.4683,-5.53215,-84.21754,-3.32241,-8.55262,-1.0679,-3.71523,-2.79483,-41.88413,3.63189,-0.11259,-83.66374,4.2373
0.04,0,0,0,8.54675,-2.09315,3.26533,1.32313,-42.94214,-2.41587,-5.53248,-84.23801,-3.28085,-8.55139,-1.05388,-3.72205,-2.81987,-41.87496,3.61866,-0.12967,-83.65364,4.25189
0.048,0,0,0,8.54459,-2.10047,3.26627,1.32097,-42.94946,-2.41493,-5.53543,-84.24501,-3.28918,-8.54965,-1.04577,-3.72833,-2.85095,-41.87124,3.61349,-0.15608,-83.64909,4.28171
0.056,0,0,0,8.54196,-2.10446,3.27059,1.31834,-42.95345,-2.41061,-5.54516,-84.24756,-3.29714,-8.54703,-1.04136,-3.73557,-2.87551,-41.87041,3.60741,-0.17743,-83.64745,4.31186
0.064,0,0,0,8.53889,-2.10436,3.27867,1.31527,-42.95335,-2.40253,-5.55638,-84.24595,-3.29627,-8.54328,-1.04138,-3.74414,-2.90588,-41.87449,3.60255,-0.20905,-83.65097,4.34393
0.072,0,0,0,8.53457,-2.09886,3.29343,1.31095,-42.94785,-2.38777,-5.57279,-84.23822,-3.29134,-8.53818,-1.04761,-3.75401,-2.9446,-41.88607,3.5964,-0.25215,-83.66218,4.37387
0.08,0,0,0,8.52961,-2.08683,3.31382,1.30599,-42.93583,-2.36738,-5.59215,-84.22362,-3.27897,-8.53174,-1.06102,-3.76488,-2.98655,-41.90463,3.59362,-0.2941,-83.68073,4.37108
0.088,0,0,0,8.52309,-2.07117,3.34034,1.29946,-42.92016,-2.34086,-5.61139,-84.20563,-3.2611,-8.5238,-1.0786,-3.77783,-3.03574,-41.92863,3.58786,-0.34329,-83.70474,4.36533
0.096,0,0,0,8.51556,-2.05356,3.37029,1.28813,-42.90905,-2.25909,-5.63905,-84.19154,-3.19013,-8.51507,-1.09838,-3.79179,-3.07556,-41.95287,3.58512,-0.3893,-83.72868,4.39927
0.104,0,0,0,8.50779,-2.03864,3.39882,1.28187,-42.9015,-2.17874,-5.65873,-84.18147,-3.12175,-8.50639,-1.11514,-3.80637,-3.11627,-41.97417,3.58167,-0.44332,-83.75012,4.43116
0.112,0,0,0,8.50002,-2.0303,3.42316,1.36338,-42.90014,-2.21791,-5.57892,-84.17962,-3.16951,-8.49834,-1.12464,-3.82153,-3.1522,-41.98729,3.57843,-0.51647,-83.76396,4.50589
0.12,0,0,0,8.49282,-2.02729,3.44278,1.37825,-42.898,-2.21982,-5.56502,-84.17709,-3.18144,-8.4911,-1.12825,-3.83651,-3.18462,-41.99369,3.5766,-0.56459,-83.771,4.51915
0.128,0,0,0,8.48657,-2.02829,3.45757,1.3958,-42.90125,-2.21856,-5.54154,-84.18102,-3.19385,-8.48522,-1.12745,-3.84975,-3.21535,-41.99629,3.5707,-0.61324,-83.77442,4.52636
0.136,0,0,0,8.48111,-2.03241,3.46852,1.418,-42.91001,-2.20873,-5.51311,-84.19044,-3.19992,-8.48026,-1.12316,-3.86192,-3.23138,-41.99508,3.55643,-0.65259,-83.77447,4.52066
0.144,0,0,0,8.47689,-2.03729,3.47598,1.43865,-42.91895,-2.20286,-5.48423,-84.20042,-3.20834,-8.47589,-1.11784,-3.87304,-3.23703,-41.99381,3.53007,-0.67233,-83.77393,4.50017
0.152,0,0,0,8.47325,-2.04365,3.48111,1.45719,-42.92733,-2.2107,-5.46359,-84.20859,-3.23885,-8.47199,-1.11077,-3.88359,-3.23365,-41.99157,3.49319,-0.6831,-83.7725,4.46529
0.16,0,0,0,8.47162,-2.04899,3.48194,1.48564,-42.93349,-2.24089,-5.42759,-84.21563,-3.28456,-8.46929,-1.10456,-3.89123,-3.22619,-41.99156,3.44773,-0.67963,-83.77266,4.42297
0.168,0,0,0,8.47072,-2.05526,3.48045,1.50499,-42.93977,-2.26693,-5.40155,-84.22275,-3.3213,-8.46764,-1.09736,-3.89685,-3.20426,-41.98785,3.40803,-0.66217,-83.76915,4.3865
0.176,0,0,0,8.47103,-2.06053,3.47655,1.52784,-42.94236,-2.31696,-5.36789,-84.22714,-3.37215,-8.46681,-1.09109,-3.90042,-3.17546,-41.98438,3.36852,-0.63318,-83.76541,4.35789
0.184,0,0,0,8.47205,-2.06427,3.47184,1.54099,-42.94681,-2.33117,-5.35181,-84.23227,-3.37861,-8.4663,-1.08639,-3.90283,-3.14687,-41.98351,3.32388,-0.60577,-83.76418,4.33164
0.192,0,0,0,8.4736,-2.06631,3.46686,1.55673,-42.94588,-2.37389,-5.33091,-84.23257,-3.40647,-8.46617,-1.08351,-3.90392,-3.11141,-41.98332,3.28141,-0.56674,-83.76328,4.3093
0.2,0,0,0,8.47451,-2.06753,3.46389,1.56435,-42.9473,-2.38339,-5.32428,-84.23431,-3.39669,-8.46569,-1.08166,-3.90548,-3.07849,-41.98418,3.24005,-0.52717,-83.7631,4.29311
0.208,0,0,0,8.47584,-2.06785,3.46046,1.57582,-42.94676,-2.40475,-5.31975,-84.23315,-3.39594,-8.46561,-1.08079,-3.90589,-3.07842,-41.98331,3.23963,-0.51653,-83.76083,4.32254
0.216,0,0,0,8.47368,-2.0705,3.46418,1.57405,-42.94669,-2.42049,-5.3304,-84.23218,-3.38667,-8.46286,-1.0777,-3.91268,-3.07568,-41.98023,3.23285,-0.50403,-83.75633,4.34676
0.224,0,0,0,8.47264,-2.07115,3.46629,1.57525,-42.94549,-2.43377,-5.33431,-84.23078,-3.37185,-8.46147,-1.07689,-3.91592,-3.04304,-41.98188,3.19174,-0.4626,-83.75643,4.34306
0.232,0,0,0,8.4696,-2.07158,3.47348,1.5723,-42.94449,-2.43659,-5.33764,-84.23042,-3.3432,-8.45836,-1.07651,-3.92276,-3.01456,-41.98349,3.15401,-0.42895,-83.7567,4.34164
0.24,0,0,0,8.46602,-2.07246,3.48165,1.56873,-42.94538,-2.42842,-5.34229,-84.23181,-3.30341,-8.45515,-1.07577,-3.92987,-2.95686,-41.98245,3.10638,-0.36411,-83.75419,4.32978
0.248,0,0,0,8.46368,-2.07277,3.48717,1.56639,-42.94569,-2.4229,-5.34323,-84.23296,-3.26873,-8.45316,-1.07564,-3.93416,-2.94926,-41.98095,3.10569,-0.35615,-83.75187,4.35606
0.256,0,0,0,8.46031,-2.07234,3.4956,1.56714,-42.94205,-2.44141,-5.34416,-84.22956,-3.26132,-8.44981,-1.07628,-3.94117,-2.94515,-41.97968,3.10919,-0.34485,-83.74932,4.38687
0.264,0,0,0,8.45675,-2.07229,3.50422,1.56142,-42.94162,-2.43288,-5.34679,-84.23015,-3.22691,-8.44652,-1.07654,-3.94816,-2.94825,-41.9799,3.10742,-0.34566,-83.74869,4.408
0.272,0,0,0,8.45474,-2.0704,3.5102,1.54829,-42.93484,-2.44761,-5.35561,-84.22452,-3.21898,-8.44423,-1.07867,-3.95247,-2.95271,-41.98235,3.10651,-0.34798,-83.75046,4.42459
0.28,0,0,0,8.45171,-2.07087,3.51722,1.5416,-42.9345,-2.44189,-5.35514,-84.22578,-3.19119,-8.44143,-1.07834,-3.95853,-2.96364,-41.98332,3.10355,-0.36168,-83.75119,4.4347
0.288,0,0,0,8.44818,-2.07243,3.52476,1.53454,-42.93459,-2.44031,-5.34909,-84.22845,-3.16826,-8.43825,-1.07683,-3.96572,-2.97007,-41.98304,3.09675,-0.36994,-83.75069,4.43801
0.296,0,0,0,8.44544,-2.07408,3.53035,1.535,-42.93704,-2.433,-5.33266,-84.23392,-3.14013,-8.43573,-1.07514,-3.97154,-2.97573,-41.98272,3.08928,-0.37733,-83.75025,4.43802
0.304,0,0,0,8.44223,-2.07699,3.53633,1.53816,-42.93967,-2.43626,-5.32211,-84.23797,-3.13203,-8.43264,-1.07204,-3.97892,-2.98188,-41.9817,3.07697,-0.38395,-83.74917,4.42846
0.312,0,0,0,8.43932,-2.07994,3.54151,1.53689,-42.94552,-2.41309,-5.30606,-84.247,-3.0905,-8.42982,-1.06887,-3.98577,-2.98313,-41.97972,3.0664,-0.38595,-83.74714,4.4206
0.32,0,0,0,8.43809,-2.08181,3.54334,1.5454,-42.94724,-2.42364,-5.28057,-84.25177,-3.08588,-8.42841,-1.06675,-3.98931,-2.97912,-41.97782,3.05952,-0.37838,-83.74493,4.41669
0.328,0,0,0,8.43605,-2.0845,3.54663,1.55405,-42.95061,-2.42797,-5.25588,-84.25804,-3.07445,-8.4264,-1.06381,-3.99433,-2.97446,-41.97468,3.05369,-0.37156,-83.74165,4.41085
0.336,0,0,0,8.4346,-2.08556,3.54944,1.56395,-42.95351,-2.42563,-5.23135,-84.2636,-3.05601,-8.42468,-1.06259,-3.99828,-2.96949,-41.97442,3.04163,-0.3622,-83.7409,4.40542
0.344,0,0,0,8.43439,-2.08556,3.54995,1.57355,-42.95512,-2.42539,-5.21084,-84.26714,-3.04639,-8.42433,-1.06255,-3.99904,-2.97054,-41.97488,3.03901,-0.36524,-83.74143,4.4047
0.352,0,0,0,8.43411,-2.08402,3.55149,1.58143,-42.95463,-2.42607,-5.19207,-84.26857,-3.03827,-8.42332,-1.06406,-4.00078,-2.9648,-41.97541,3.03928,-0.35245,-83.74137,4.40935
0.36,0,0,0,8.43349,-2.08263,3.5538,1.58834,-42.95489,-2.42107,-5.17998,-84.26977,-3.02734,-8.42228,-1.06552,-4.00256,-2.96577,-41.97664,3.04044,-0.35471,-83.74268,4.41072
0.368,0,0,0,8.43417,-2.07876,3.55446,1.59764,-42.95207,-2.4231,-5.16058,-84.26875,-3.01914,-8.42222,-1.06964,-4.00159,-2.96772,-41.98095,3.04181,-0.34946,-83.74639,4.4165
0.376,0,0,0,8.4336,-2.0752,3.55789,1.60654,-42.94962,-2.42287,-5.14633,-84.26726,-3.01321,-8.42096,-1.07344,-4.00321,-2.96996,-41.9848,3.04263,-0.35252,-83.75028,4.41764
0.384,0,0,0,8.43262,-2.07073,3.56281,1.61341,-42.94751,-2.41082,-5.13121,-84.26656,-2.99656,-8.41891,-1.07817,-4.00624,-2.97307,-41.98965,3.04293,-0.34991,-83.75471,4.41986
0.392,0,0,0,8.43254,-2.06607,3.5657,1.61779,-42.94409,-2.40451,-5.11657,-84.26483,-2.98893,-8.41804,-1.08316,-4.00674,-2.97896,-41.9946,3.04786,-0.35584,-83.75974,4.4221
0.4,0,0,0,8.43143,-2.06197,3.5707,1.62657,-42.94045,-2.40764,-5.09884,-84.26259,-2.99688,-8.41627,-1.08761,-4.00924,-2.98165,-41.99957,3.04579,-0.35335,-83.76438,4.4205
0.408,0,0,0,8.42964,-2.05911,3.57658,1.62801,-42.93937,-2.39331,-5.09469,-84.26188,-2.98656,-8.41424,-1.09081,-4.01265,-2.98065,-42.00226,3.04617,-0.3525,-83.76707,4.42084
0.416,0,0,0,8.42982,-2.05524,3.57836,1.62991,-42.93498,-2.39702,-5.08681,-84.25844,-2.99208,-8.4139,-1.09498,-4.01222,-2.98135,-42.00591,3.05037,-0.35095,-83.77041,4.43038
0.424,0,0,0,8.42867,-2.0537,3.58195,1.63306,-42.93457,-2.39053,-5.08012,-84.25861,-2.98551,-8.41278,-1.09677,-4.01409,-2.98626,-42.00806,3.05106,-0.35682,-83.77261,4.43137
0.432,0,0,0,8.42818,-2.05214,3.58401,1.64233,-42.93407,-2.39237,-5.06382,-84.25932,-2.98213,-8.41206,-1.09845,-4.01513,-2.98982,-42.0098,3.05294,-0.35872,-83.77411,4.43763
0.44,0,0,0,8.42841,-2.05131,3.58397,1.64581,-42.93567,-2.37945,-5.04762,-84.26309,-2.96171,-8.41246,-1.09944,-4.01401,-2.99624,-42.01137,3.05532,-0.36866,-83.7759,4.43995
0.448,0,0,0,8.42847,-2.05021,3.58445,1.65259,-42.9342,-2.38914,-5.03021,-84.26343,-2.96484,-8.41213,-1.10054,-4.0144,-3.00124,-42.01335,3.05394,-0.36902,-83.77754,4.43994
0.456,0,0,0,8.42834,-2.05001,3.58484,1.6571,-42.93472,-2.38907,-5.01597,-84.26559,-2.96039,-8.41175,-1.10069,-4.01518,-3.00638,-42.01459,3.05103,-0.37201,-83.77863,4.43756
0.464,0,0,0,8.42896,-2.04913,3.58391,1.65969,-42.93602,-2.37734,-5.00322,-84.26864,-2.94033,-8.41185,-1.10151,-4.01472,-3.00442,-42.01508,3.05184,-0.36596,-83.77886,4.43828
0.472,0,0,0,8.42845,-2.04925,3.58504,1.66396,-42.93718,-2.37447,-4.99494,-84.27051,-2.9328,-8.41104,-1.1013,-4.01648,-3.00854,-42.01615,3.04648,-0.36635,-83.77965,4.43409
0.48,0,0,0,8.42819,-2.04894,3.58583,1.67017,-42.9401,-2.3588,-4.97716,-84.27543,-2.90711,-8.41039,-1.10154,-4.01778,-3.00926,-42.01662,3.04485,-0.36493,-83.77994,4.43379
